poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/29/23,5/2/23,,"",,172689,1500,a,,a,,5/3/23 10:09,"",https://docs.cdn.yougov.com/cxqrokhwtq/econtoplines.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,DEM,Biden,19368,Joe Biden,41.0
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/29/23,5/2/23,,"",,172689,1500,a,,a,,5/3/23 10:09,"",https://docs.cdn.yougov.com/cxqrokhwtq/econtoplines.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,REP,Trump,16651,Donald Trump,41.0
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/29/23,5/2/23,,"",,172690,1357,rv,,rv,,5/3/23 10:09,"",https://docs.cdn.yougov.com/qsy7ekuxik/econTabReport.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,DEM,Biden,19368,Joe Biden,46.0
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/29/23,5/2/23,,"",,172690,1357,rv,,rv,,5/3/23 10:09,"",https://docs.cdn.yougov.com/qsy7ekuxik/econTabReport.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,REP,Trump,16651,Donald Trump,46.0
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/29/23,5/2/23,,"",,172691,1500,a,,a,,5/3/23 10:09,"",https://docs.cdn.yougov.com/cxqrokhwtq/econtoplines.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,DEM,Biden,19368,Joe Biden,41.0
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/29/23,5/2/23,,"",,172691,1500,a,,a,,5/3/23 10:09,"",https://docs.cdn.yougov.com/cxqrokhwtq/econtoplines.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,REP,DeSantis,16646,Ron DeSantis,36.0
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/29/23,5/2/23,,"",,172692,1357,rv,,rv,,5/3/23 10:09,"",https://docs.cdn.yougov.com/qsy7ekuxik/econTabReport.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,DEM,Biden,19368,Joe Biden,45.0
82727,568,YouGov,352,Economist,YouGov,391,YouGov,B+,Online,,4/29/23,5/2/23,,"",,172692,1357,rv,,rv,,5/3/23 10:09,"",https://docs.cdn.yougov.com/qsy7ekuxik/econTabReport.pdf,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,REP,DeSantis,16646,Ron DeSantis,42.0
82729,399,Rasmussen (Pulse Opinion Research),1986,Political Media,Rasmussen Reports,277,Rasmussen Reports,B,IVR/Online,,4/27/23,5/2/23,,"",,172694,1050,lv,,lv,,5/3/23 10:17,"",https://www.rasmussenreports.com/public_content/politics/biden_administration/better_together_trump_desantis_ticket_would_beat_biden_harris,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,DEM,Biden,19368,Joe Biden,41.0
82729,399,Rasmussen (Pulse Opinion Research),1986,Political Media,Rasmussen Reports,277,Rasmussen Reports,B,IVR/Online,,4/27/23,5/2/23,,"",,172694,1050,lv,,lv,,5/3/23 10:17,"",https://www.rasmussenreports.com/public_content/politics/biden_administration/better_together_trump_desantis_ticket_would_beat_biden_harris,"",false,,8914,2024,U.S. President,0,,11/5/24,general,false,false,,REP,Trump,16651,Donald Trump,48.0
